test_error,,morpheus-multi,morpheus-multi,morpheus-multi
,,Clean,Noisy,Difference
direction,Model,,,
En-De,m2m100-base,72.92,69.02,3.9
En-De,m2m100-clean,74.53,71.3,3.23
En-De,m2m100-noisy,73.98,73.65,0.33
En-De,mbart-base,74.52,69.94,4.57
En-De,mbart-clean,77.38,74.1,3.28
En-De,mbart-noisy,77.02,76.82,0.2
En-De,nllb-base,65.19,62.09,3.1
En-De,nllb-clean,66.24,63.45,2.78
En-De,nllb-noisy,66.52,66.02,0.5
En-De,opus-base,68.62,63.91,4.71
En-De,opus-clean,70.1,65.29,4.81
En-De,opus-noisy,69.15,68.4,0.75
En-Es,m2m100-base,75.98,71.8,4.18
En-Es,m2m100-clean,76.48,72.54,3.94
En-Es,m2m100-noisy,75.79,75.58,0.22
En-Es,mbart-base,76.44,72.75,3.69
En-Es,mbart-clean,78.38,74.77,3.62
En-Es,mbart-noisy,78.27,78.08,0.19
En-Es,nllb-base,75.18,71.78,3.4
En-Es,nllb-clean,75.83,72.46,3.36
En-Es,nllb-noisy,75.64,75.45,0.19
En-Es,opus-base,76.03,71.78,4.25
En-Es,opus-clean,76.2,72.28,3.92
En-Es,opus-noisy,75.85,75.35,0.5
En-It,m2m100-base,74.94,70.97,3.98
En-It,m2m100-clean,76.69,73.38,3.31
En-It,m2m100-noisy,76.59,76.46,0.13
En-It,mbart-base,75.22,72.01,3.22
En-It,mbart-clean,77.55,74.2,3.35
En-It,mbart-noisy,77.58,77.37,0.22
En-It,nllb-base,74.84,71.68,3.17
En-It,nllb-clean,75.78,72.82,2.96
En-It,nllb-noisy,75.59,75.26,0.33
En-It,opus-base,74.82,70.14,4.69
En-It,opus-clean,76.16,72.11,4.05
En-It,opus-noisy,76.22,75.73,0.48
En-Nl,m2m100-base,74.84,71.45,3.4
En-Nl,m2m100-clean,75.28,71.99,3.29
En-Nl,m2m100-noisy,74.78,74.63,0.15
En-Nl,mbart-base,74.09,71.46,2.63
En-Nl,mbart-clean,77.25,74.4,2.85
En-Nl,mbart-noisy,77.38,77.28,0.1
En-Nl,nllb-base,72.61,69.73,2.87
En-Nl,nllb-clean,73.64,71.13,2.51
En-Nl,nllb-noisy,73.53,73.39,0.15
En-Nl,opus-base,74.07,69.39,4.68
En-Nl,opus-clean,75.32,71.5,3.82
En-Nl,opus-noisy,76.08,75.51,0.58
Fr-Es,m2m100-base,73.0,68.64,4.35
Fr-Es,m2m100-clean,73.3,70.2,3.09
Fr-Es,m2m100-noisy,73.42,73.23,0.19
Fr-Es,mbart-base,65.36,60.31,5.06
Fr-Es,mbart-clean,73.07,69.69,3.39
Fr-Es,mbart-noisy,74.12,73.62,0.5
Fr-Es,nllb-base,71.34,68.53,2.81
Fr-Es,nllb-clean,73.1,70.68,2.42
Fr-Es,nllb-noisy,73.74,73.43,0.3
Fr-Es,opus-base,71.18,67.63,3.55
Fr-Es,opus-clean,73.97,70.71,3.26
Fr-Es,opus-noisy,73.57,73.05,0.52
